BOROUGH,HOUSE,STREET,STREETON,RACKS,RACKTYPE,WORKTYPE,WORKDATE,X,Y
3,432,MONROE ST,THROOP AV,3,Circular,Install,1000652,189287
3,382,TOMPKINS AV,,1,Small,Install,999715,188548
3,385,TOMPKINS AV,,2,Small,Install,999786,188662
3,426,MARCUS GARVEY BL,,2,Circular,Install,1001435,187820
3,77,CLINTON AV,CLINTON AV,1,Circular,Install,992912,192627
3,467,MYRTLE AV,,1,Circular,Install,993512,191968
3,452,MYRTLE AV,,1,Circular,Install,993298,191773
3,447,DE KALB AV,DEKALB AV,1,Small,Install,995453,190904
3,433,DE KALB AV,DEKALB AV,1,Small,Install,995319,190883
3,431,DE KALB AV,DEKALB AV,1,Small,Install,995291,190879
3,463,DE KALB AV,KENT AV,1,Small,Install,995687,190935
3,495,DE KALB AV,FRANKLIN AV,1,Small,Install,996130,190998
3,486,DE KALB AV,DEKALB AV,1,Small,Install,996149,190860
3,365,WAVERLY AV,,1,Small,Install,993582,189637
3,390,FT WASHINGTON AV,FT WASHINGTON A1,,Circular,Install,993693,189624
3,1072,BEDFORD AV,,1,Small,Install,996694,189998
3,340,MYRTLE AV,CARLTON AV,1,Large,Install,991867,191758
3,384,MYRTLE AV,,1,Circular,Install,992407,191733
3,171,LAFAYETTE AV,,1,Large,Install,992395,189884
3,55,HANSON PL,HANSON PL,3,Small,Install,990967,189069
3,440,BROADWAY,,1,Small,Install,997375,196607
3,133,N 7 ST,,4,Large,Install,995820,201051
3,299,N 7 ST,MEEKER AV,1,Circular,Install,997389,199791
3,299,N 7 ST,N 7 ST,2,Circular,Install,997389,199791
3,34,N 7 ST,N 7 ST,2,Circular,Install,994621,201787
3,178,N 7 ST,,6,Large,Install,996002,200720
3,167,N 6 ST,,1,Small,Install,996031,200519
3,48,N 6 ST,,1,Small,Install,994717,201388
3,66,N 6 ST,,1,Small,Install,994843,201285
3,200,BEDFORD AV,,1,Large,Install,995726,200614
3,51,N 1 ST,,1,Large,Install,994047,200487
3,153,ROEBLING ST,,1,Large,Install,996069,199441
3,38,MARCY AV,HOPE ST,2,Circular,Install,996675,199072
3,159,GRAND ST,GRAND ST,1,Circular,Install,994904,199710
3,2,HOPE ST,ROEBLING ST,1,Small,Install,995933,199323
3,356,S 1 ST,S 1 ST,1,Circular,Install,997328,198105
3,338,BERRY ST,,2,Circular,Install,993943,198672
3,338,BERRY ST,,1,Small,Install,993943,198672
3,107,S 6 ST,S 6 ST,2,Circular,Install,994127,198261
3,107,S 6 ST,S 6 ST,1,Small,Install,994127,198261
3,195,FRANKLIN ST,,1,Small,Install,995755,206517
3,180,FRANKLIN ST,,1,Small,Install,996016,205852
3,904,MANHATTAN AV,GREENPOINT AV,2,Circular,Install,996984,205376
3,99,FRANKLIN ST,FRANKLIN ST,1,Circular,Install,995955,204990
3,84,NASSAU AV,,1,Large,Install,997969,202959
3,84,NASSAU AV,,1,Small,Install,997969,202959
